Id,Name,DeveloperName,NamespacePrefix,SobjectType,IsSoqlCompatible,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate
00BdM000009ePujUAE,All Communication Subscriptions,All_CommSubscriptions,,CommSubscription,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuhUAE,All Communication Subscription Channel Types,All_CommSubscriptionChannelTypes,,CommSubscriptionChannelType,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePukUAE,All Communication Subscription Consents,All_CommSubscriptionConsents,,CommSubscriptionConsent,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePulUAE,All Communication Subscription Timings,All_CommSubscriptionTimings,,CommSubscriptionTiming,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePvMUAU,All Entitlement Policies,ALL_Entitlement_Policies,,CommerceEntitlementPolicy,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4GzUAI,My Entitlement Policies,My_Entitlement_Policies,,CommerceEntitlementPolicy,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4K7UAI,All,AllConShareDetails,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePuJUAU,All Consumption Schedules,All_ConsumptionSchedules,,ConsumptionSchedule,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuKUAU,My Consumption Schedules,My_ConsumptionSchedules,,ConsumptionSchedule,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4IGUAY,All Contact Point Addresses,All_ContactPointAddresses,,ContactPointAddress,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePufUAE,All Contact Point Consents,All_ContactPointConsents,,ContactPointConsent,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4IEUAY,All Contact Point Emails,All_ContactPointEmails,,ContactPointEmail,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4IFUAY,All Contact Point Phones,All_ContactPointPhones,,ContactPointPhone,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePueUAE,All Contact Point Type Consents,All_ContactPointTypeConsents,,ContactPointTypeConsent,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePusUAE,All Contact Requests,All_ContactRequests,,ContactRequest,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuvUAE,My Contact Requests,My_ContactRequests,,ContactRequest,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
