Id,DurableId,LastModifiedDate,LastModifiedById,QualifiedApiName,NamespacePrefix,DeveloperName,MasterLabel,Label,PluralLabel,DefaultCompactLayoutId,IsCustomizable,IsApexTriggerable,IsWorkflowEnabled,IsProcessEnabled,IsCompactLayoutable,DeploymentStatus,KeyPrefix,IsCustomSetting,IsDeprecatedAndHidden,IsReplicateable,IsRetrieveable,IsSearchLayoutable,IsSearchable,IsTriggerable,IsIdEnabled,IsEverCreatable,IsEverUpdatable,IsEverDeletable,IsFeedEnabled,IsQueryable,IsMruEnabled,DetailUrl,EditUrl,NewUrl,EditDefinitionUrl,HelpSettingPageName,HelpSettingPageUrl,RunningUserEntityAccessId,PublisherId,IsLayoutable,RecordTypesSupported,InternalSharingModel,ExternalSharingModel,HasSubtypes,IsSubtype,IsAutoActivityCaptureEnabled,IsInterface,ImplementsInterfaces,ImplementedBy,ExtendsInterfaces,ExtendedBy,DefaultImplementation
000000000000000AAA,UserDefinedLabel,,,UserDefinedLabel,,UserDefinedLabel,Label,Label,Labels,,False,False,False,False,False,,0vm,False,False,True,True,False,True,False,True,True,True,True,False,True,True,/{ID},/{ID}/e,/0vm/e,,,,UserDefinedLabel.005dM000004WE3FQAW,System,True,{'recordTypeInfos': []},Private,Private,False,False,False,False,,,,,
000000000000000AAA,UserDefinedLabelShare,,,UserDefinedLabelShare,,UserDefinedLabelShare,Label Share,Label Share,Label Share,,False,False,False,False,False,,02c,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/02c/e,,,,UserDefinedLabelShare.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},Private,Private,False,False,False,False,,,,,
000000000000000AAA,UserDefinedLabelAssignment,,,UserDefinedLabelAssignment,,UserDefinedLabelAssignment,Label Assignment,Label Assignment,Label Assignments,,False,False,False,False,False,,0vn,False,False,True,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/0vn/e,,,,UserDefinedLabelAssignment.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},Private,Private,False,False,False,False,,,,,
000000000000000AAA,UserDefinedLabelAssignmentShare,,,UserDefinedLabelAssignmentShare,,UserDefinedLabelAssignmentShare,Label Assignment Share,Label Assignment Share,Label Assignment Share,,False,False,False,False,False,,02c,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/02c/e,,,,UserDefinedLabelAssignmentShare.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},Private,Private,False,False,False,False,,,,,
000000000000000AAA,ActivityFieldHistory,,,ActivityFieldHistory,,ActivityFieldHistory,Activity Field History,Activity Field History,Activity Field Histories,,False,False,False,False,False,,2fp,False,False,False,True,False,False,False,False,True,True,True,False,True,False,/{ID},/{ID}/e,/2fp/e,,,,ActivityFieldHistory.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,ExpressionSetView,,,ExpressionSetView,,ExpressionSetView,Expression Set Template,Expression Set Template,Expression Set Templates,,False,False,False,False,False,,0pz,False,False,False,False,False,False,False,False,True,True,True,False,True,False,/{ID},/{ID}/e,/0pz/e,,,,ExpressionSetView.005dM000004WE3FQAW,MetadataCatalog,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,ExternalDataSrcDescriptor,,,ExternalDataSrcDescriptor,,ExternalDataSrcDescriptor,External Data Source Descriptor,External Data Source Descriptor,External Data Source Descriptors,,False,False,False,False,False,,6Ay,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/6Ay/e,,,,ExternalDataSrcDescriptor.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,FlowTestResult,,,FlowTestResult,,FlowTestResult,Flow Test Result,Flow Test Result,Flow Test Results,,False,False,False,False,False,,2hU,False,False,True,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/2hU/e,,,,FlowTestResult.005dM000004WE3FQAW,System,False,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/FlowTestResult/describe/layouts/012000000000000AAA'}}]}",Read,Private,False,False,False,False,,,,,
000000000000000AAA,FlowTestResultShare,,,FlowTestResultShare,,FlowTestResultShare,Flow Test Result Share,Flow Test Result Share,Flow Test Result Share,,False,False,False,False,False,,02c,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/02c/e,,,,FlowTestResultShare.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},Read,Private,False,False,False,False,,,,,
000000000000000AAA,FlowTestView,,,FlowTestView,,FlowTestView,Flow Test View,Flow Test View,Flow Test Views,,False,False,False,False,False,,4YB,False,False,False,False,False,False,False,False,True,True,True,False,True,False,/{ID},/{ID}/e,/4YB/e,,,,FlowTestView.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,RelatedListColumnDefinition,,,RelatedListColumnDefinition,,RelatedListColumnDefinition,Related List Column Definition,Related List Column Definition,Related List Column Definition,,False,False,False,False,False,,0rc,False,False,False,False,False,False,False,False,True,True,True,False,True,False,/{ID},/{ID}/e,/0rc/e,,,,RelatedListColumnDefinition.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,RelatedListDefinition,,,RelatedListDefinition,,RelatedListDefinition,Related List Definition,Related List Definition,Related List Definition,,False,False,False,False,False,,0rl,False,False,False,False,False,False,False,False,True,True,True,False,True,False,/{ID},/{ID}/e,/0rl/e,,,,RelatedListDefinition.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,FileEvent,,,FileEvent,,FileEvent,File Event,File Event,File Events,,False,False,False,False,False,,0vI,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/{ID},/{ID}/e,/0vI/e,,,,FileEvent.005dM000004WE3FQAW,PlatformMonitoring,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,FileEventStore,,,FileEventStore,,FileEventStore,File Event Store,File Event Store,File Event Stores,,False,False,False,False,False,,0wg,False,False,False,False,False,False,False,False,False,False,True,False,True,False,/{ID},/{ID}/e,/0wg/e,,,,FileEventStore.005dM000004WE3FQAW,PlatformMonitoring,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,PrivacyJobSession,,,PrivacyJobSession,,PrivacyJobSession,Privacy Job Session,Privacy Job Session,Privacy Job Session,PrivacyJobSession.SYSTEM,True,True,False,False,True,,8sp,False,False,True,True,False,False,True,True,True,True,True,False,True,False,/{ID},/{ID}/e,/8sp/e,,,,PrivacyJobSession.005dM000004WE3FQAW,System,True,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/PrivacyJobSession/describe/layouts/012000000000000AAA'}}]}",Private,Private,False,False,False,False,,,,,
000000000000000AAA,PrivacyJobSessionShare,,,PrivacyJobSessionShare,,PrivacyJobSessionShare,Privacy Job Session Share,Privacy Job Session Share,Privacy Job Session Share,,False,False,False,False,False,,02c,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/02c/e,,,,PrivacyJobSessionShare.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},Private,Private,False,False,False,False,,,,,
000000000000000AAA,PrivacyObjectSession,,,PrivacyObjectSession,,PrivacyObjectSession,Privacy Object Session,Privacy Object Session,Privacy Object Session,,False,True,False,False,False,,8sq,False,False,True,True,False,False,True,True,True,True,True,False,True,False,/{ID},/{ID}/e,/8sq/e,,,,PrivacyObjectSession.005dM000004WE3FQAW,System,False,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/PrivacyObjectSession/describe/layouts/012000000000000AAA'}}]}",Private,Private,False,False,False,False,,,,,
000000000000000AAA,PrivacyObjectSessionShare,,,PrivacyObjectSessionShare,,PrivacyObjectSessionShare,Privacy Object Session Share,Privacy Object Session Share,Privacy Object Session Share,,False,False,False,False,False,,02c,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/02c/e,,,,PrivacyObjectSessionShare.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},Private,Private,False,False,False,False,,,,,
000000000000000AAA,PrivacyPolicy,,,PrivacyPolicy,,PrivacyPolicy,Privacy Policy,Privacy Policy,Privacy Policies,PrivacyPolicy.SYSTEM,True,False,False,False,True,,8so,False,False,True,True,False,False,False,True,True,True,True,False,True,True,/{ID},/{ID}/e,/8so/e,,,,PrivacyPolicy.005dM000004WE3FQAW,System,True,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/PrivacyPolicy/describe/layouts/012000000000000AAA'}}]}",ReadWrite,ReadWrite,False,False,False,False,,,,,
