Id,MetricsDate,PermissionSetLicenseId,SystemModstamp,AssignedUserCount,ActiveUserCount,DeveloperName,MasterLabel,TotalLicenses
5H1dM000004MbtXSAS,2024-08-11,0PLdM000001KGJTWA4,2024-08-10T19:40:45Z,0,0,B2BBuyerPsl,B2B Buyer Permission Set One Seat,20
5H1dM000004MbtYSAS,2024-08-11,0PLdM000001KGJqWAO,2024-08-10T19:40:45Z,0,0,ServiceUserPsl,Service User,1
5H1dM000004MbtZSAS,2024-08-11,0PLdM000001KGJVWA4,2024-08-10T19:40:45Z,0,0,CommerceAdminUserPsl,Commerce Admin Permission Set License Seat,20
5H1dM000004MbtaSAC,2024-08-11,0PLdM000001KGknWAG,2024-08-10T19:40:45Z,0,0,EnablementLitePsl,Enablement Lite,15
5H1dM000004MbtbSAC,2024-08-11,0PLdM000001KGJfWAO,2024-08-10T19:40:45Z,0,0,FieldServiceStandardPsl,Field Service Standard,5
5H1dM000004MbtcSAC,2024-08-11,0PLdM000001KGJUWA4,2024-08-10T19:40:45Z,0,0,CommerceUserPsl,Commerce User,20
5H1dM000004MbtdSAC,2024-08-11,0PLdM000001KGJpWAO,2024-08-10T19:40:45Z,0,0,FieldServiceDispatcher,Field Service Dispatcher,0
5H1dM000004MbteSAC,2024-08-11,0PLdM000001KGJbWAO,2024-08-10T19:40:45Z,0,0,CRMUserPsl,CRM User,1
5H1dM000004MbtfSAC,2024-08-11,0PLdM000001KGJgWAO,2024-08-10T19:40:45Z,0,0,IdentityConnect,Identity Connect,10
5H1dM000004MbtgSAC,2024-08-11,0PLdM000001KGJPWA4,2024-08-10T19:40:45Z,0,0,SalesforceCPQ_CPQAAPerm,Salesforce CPQ AA License,2
5H1dM000004MbthSAC,2024-08-11,0PLdM000001KGJQWA4,2024-08-10T19:40:45Z,0,0,SalesforceCPQ_CPQStandardPerm,Salesforce CPQ License,2
5H1dM000004MbtiSAC,2024-08-11,0PLdM000001KGJdWAO,2024-08-10T19:40:45Z,0,0,FieldServiceMobilePsl,Field Service Mobile,1
5H1dM000004MbtjSAC,2024-08-11,0PLdM000001KGJWWA4,2024-08-10T19:40:45Z,0,0,SlackServiceUserPsl,Slack Service User,1
5H1dM000004MbtkSAC,2024-08-11,0PLdM000001KGJcWAO,2024-08-10T19:40:45Z,0,0,FieldServiceSchedulingPsl,Field Service Scheduling,1
5H1dM000004MbtlSAC,2024-08-11,0PLdM000001KGJjWAO,2024-08-10T19:40:45Z,0,0,InsightsBuilderPsl,Analytics Cloud Builder,0
5H1dM000004MbtmSAC,2024-08-11,0PLdM000001KGJhWAO,2024-08-10T19:40:45Z,0,0,ContractsOrdersProductsPsl,Orders Platform,2
5H1dM000004MbtnSAC,2024-08-11,0PLdM000001KGJoWAO,2024-08-10T19:40:45Z,0,0,FieldServiceStandard,Field Service Standard,0
5H1dM000004MbtoSAC,2024-08-11,0PLdM000001KGJlWAO,2024-08-10T19:40:45Z,0,0,FieldServiceMobile,Field Service Mobile,0
5H1dM000004MbtpSAC,2024-08-11,0PLdM000001KGJYWA4,2024-08-10T19:40:45Z,0,0,SalesforceAPIIntegrationPsl,Salesforce API Integration,1
5H1dM000004MbtqSAC,2024-08-11,0PLdM000001KGJiWAO,2024-08-10T19:40:45Z,0,0,SalesConsoleUser,Sales Console User,2
5H1dM000004MbtrSAC,2024-08-11,0PLdM000001KGJkWAO,2024-08-10T19:40:45Z,0,0,InsightsExplorerPsl,Analytics Cloud Explorer,0
5H1dM000004MbtsSAC,2024-08-11,0PLdM000001KGJaWAO,2024-08-10T19:40:45Z,0,0,EmbeddedServiceMessagingUserPsl,Messaging for In-App and Web User,5
5H1dM000004MbttSAC,2024-08-11,0PLdM000001KGJRWA4,2024-08-10T19:40:45Z,0,0,B2BBuyerManagerPsl,B2B Buyer Manager Permission Set One Seat,20
5H1dM000004MbtuSAC,2024-08-11,0PLdM000001KGJeWAO,2024-08-10T19:40:45Z,0,0,FieldServiceDispatcherPsl,Field Service Dispatcher,1
5H1dM000004MbtvSAC,2024-08-11,0PLdM000001KGJZWA4,2024-08-10T19:40:45Z,0,0,SalesEngagementBasicPsl,Sales Engagement Basic,100
5H1dM000004jq5XSAQ,2024-08-18,0PLdM000001KGJmWAO,2024-08-17T19:37:52Z,0,0,FieldServiceScheduling,Field Service Scheduling,0
5H1dM000004jq5YSAQ,2024-08-18,0PLdM000001KGJnWAO,2024-08-17T19:37:52Z,0,0,SalesUserPsl,Sales User,1
5H1dM000004jq5ZSAQ,2024-08-18,0PLdM000001KGJSWA4,2024-08-17T19:37:52Z,0,0,CommerceBusinessUserPsl,Commerce Business User,0
5H1dM000004jq5aSAA,2024-08-18,0PLdM000001KGJOWA4,2024-08-17T19:37:52Z,0,0,StandardEinsteinActivityCapturePsl,Standard Einstein Activity Capture User,100
5H1dM000004jq5bSAA,2024-08-18,0PLdM000001KGJNWA4,2024-08-17T19:37:52Z,0,0,IsotopePermissionSet,Isotope Permission Set,0
5H1dM000004jq5cSAA,2024-08-18,0PLdM000001KGJXWA4,2024-08-17T19:37:52Z,0,0,CommerceMerchandiserUserPsl,Commerce Merchandiser User Permission Set License Seat,20
