Id,Action,Section,CreatedDate,CreatedById,Display,DelegateUser,ResponsibleNamespacePrefix,CreatedByContext,CreatedByIssuer
0YmdM0000048QD2SAM,changedFlexiPage,Lightning Pages,1720591810000,005dM000004WE3FQAW,Changed Lightning Page: Property Explorer,,,,
0YmdM0000048QD3SAM,changedTabSetTabs,Custom Apps,1720591810000,005dM000004WE3FQAW,Changed tabs of custom app Dreamhouse,,,,
0YmdM0000048QD4SAM,activatedinteractiondefinition,Flows,1720591813000,005dM000004WE3FQAW,"Activated flow with Name ""Create Property"" and Unique Name ""Create_property""",,,,
0YmdM0000048QD5SAM,installedpackagingapp,Custom Apps,1720591837000,005dM000004WE3FQAW,Installed AppExchange package: DreamhouseLWC,,,,
0YmdM0000048QD6SAM,package2VersionUnlockedInstall,Second Generation Package Version,1720591837000,005dM000004WE3FQAW," Installed Unlocked package: ""DreamhouseLWC"" version ""55.0.0""",,,,
0YmdM0000048j2gSAA,createdCFCustom,Custom Objects,1720597170000,005dM000004WE3FQAW,Created custom field Price (Currency) on Properties,,,,
0YmdM0000048j2hSAA,custentlayout,Custom Objects,1720597170000,005dM000004WE3FQAW,Changed Properti page layout Properti Layout,,,,
0YmdM0000048pNLSAY,createdCFMasterDetailCustom,Custom Objects,1720605494000,005dM000004WE3FQAW,Created master-detail field: Property (Property) on Favorites,,,,
0YmdM0000048pNMSAY,custentlayout,Custom Objects,1720605494000,005dM000004WE3FQAW,Changed Favorite page layout Favorite Layout,,,,
0YmdM0000048vHhSAI,createdCustEnt,Custom Objects,1720602522000,005dM000004WE3FQAW,Created custom object: Offer,,,,
0YmdM0000048zYkSAI,createdCustEntTab,Custom Tabs,1720604402000,005dM000004WE3FQAW,Created custom object tab: Offers,,,,
0YmdM00000490COSAY,createdCFMasterDetailCustom,Custom Objects,1720606551000,005dM000004WE3FQAW,Created master-detail field: Property (Property) on Offers,,,,
0YmdM00000490CPSAY,custentlayout,Custom Objects,1720606551000,005dM000004WE3FQAW,Changed Offer page layout Offer Layout,,,,
