Id,ContentDocumentId,IsLatest,ContentUrl,ContentBodyId,VersionNumber,Title,Description,ReasonForChange,SharingOption,SharingPrivacy,PathOnClient,RatingCount,IsDeleted,ContentModifiedDate,ContentModifiedById,PositiveRatingCount,NegativeRatingCount,FeaturedContentBoost,FeaturedContentDate,OwnerId,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp,TagCsv,FileType,PublishStatus,VersionData,ContentSize,FileExtension,FirstPublishLocationId,Origin,ContentLocation,TextPreview,ExternalDocumentInfo1,ExternalDocumentInfo2,ExternalDataSourceId,Checksum,IsMajorVersion,IsAssetEnabled,VersionDataUrl
068dM000004lsQsQAI,069dM000006cXsMQAU,True,,05TdM000005FE1QUAW,1,ContentWorkspace_Backup_2024-09-16.csv,,,A,N,ContentWorkspace_Backup_2024-09-16.csv,0,False,2024-09-16T10:07:38.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:07:38.000+0000,005dM000004WE3FQAW,2024-09-16T10:07:38.000+0000,2024-09-16T10:07:38.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lsQsQAI/VersionData,488,csv,005dM000004WE3FQAW,C,S,,,,,51dec60adc4edd16836e36640b8cc10a,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lsQs
068dM000004lsZpQAI,069dM000006cY1JQAU,True,,05TdM000005FEf0UAG,1,ObjectPermissions_Backup_2024-09-16.csv,,,A,N,ObjectPermissions_Backup_2024-09-16.csv,0,False,2024-09-16T10:20:58.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:20:58.000+0000,005dM000004WE3FQAW,2024-09-16T10:20:58.000+0000,2024-09-16T10:20:59.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lsZpQAI/VersionData,314436,csv,005dM000004WE3FQAW,C,S,,,,,fed85b2cc970f3f2747ae254b7f577eb,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lsZp
068dM000004lslqQAA,069dM000006cYGYQA2,True,,05TdM000005FEr4UAG,1,Pricebook2_Backup_2024-09-16.csv,,,A,N,Pricebook2_Backup_2024-09-16.csv,0,False,2024-09-16T10:23:41.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:23:41.000+0000,005dM000004WE3FQAW,2024-09-16T10:23:41.000+0000,2024-09-16T10:23:42.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lslqQAA/VersionData,447,csv,005dM000004WE3FQAW,C,S,,,,,4ebf6ed95f134e27caa44d7cc79a39be,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lslq
068dM000004lt1yQAA,069dM000006cYZuQAM,True,,05TdM000005FFByUAO,1,CampaignMemberStatus_Backup_2024-09-16.csv,,,A,N,CampaignMemberStatus_Backup_2024-09-16.csv,0,False,2024-09-16T10:04:31.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:04:31.000+0000,005dM000004WE3FQAW,2024-09-16T10:04:31.000+0000,2024-09-16T10:04:31.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lt1yQAA/VersionData,1884,csv,005dM000004WE3FQAW,C,S,,,,,6149bb02276c7b5f95ad95234ec39db8,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lt1y
068dM000004ltrbQAA,069dM000006cZxPQAU,True,,05TdM000005FEZGUA4,1,Property__c_Backup_2024-09-16.csv,,,A,N,Property__c_Backup_2024-09-16.csv,0,False,2024-09-16T10:26:10.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:26:10.000+0000,005dM000004WE3FQAW,2024-09-16T10:26:10.000+0000,2024-09-16T10:26:14.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004ltrbQAA/VersionData,11816,csv,005dM000004WE3FQAW,C,S,,,,,b2e0585b589fe7a5ddac139ddd1587c7,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004ltrb
068dM000004ltwRQAQ,069dM000006ca2FQAQ,True,,05TdM000005FGHpUAO,1,LightningUsageByPageMetrics_Backup_2024-09-16.csv,,,A,N,LightningUsageByPageMetrics_Backup_2024-09-16.csv,0,False,2024-09-16T10:17:54.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:17:54.000+0000,005dM000004WE3FQAW,2024-09-16T10:17:54.000+0000,2024-09-16T10:17:55.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004ltwRQAQ/VersionData,27633,csv,005dM000004WE3FQAW,C,S,,,,,56aa69b7c18fc215b3ecac940faa426d,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004ltwR
068dM000004lu2sQAA,069dM000006ca8gQAA,True,,05TdM000005FKrbUAG,1,UserPermissionAccess_Backup_2024-09-16.csv,,,A,N,UserPermissionAccess_Backup_2024-09-16.csv,0,False,2024-09-16T10:32:11.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:32:11.000+0000,005dM000004WE3FQAW,2024-09-16T10:32:11.000+0000,2024-09-16T10:32:12.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lu2sQAA/VersionData,11415,csv,005dM000004WE3FQAW,C,S,,,,,ffd14a7aaf0ed9d9b8381894f5430bfc,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lu2s
068dM000004luRxQAI,069dM000006caRJQAY,True,,05TdM000005FH13UAG,1,Account_Backup_2024-09-16.csv,,,A,N,Account_Backup_2024-09-16.csv,0,False,2024-09-16T09:59:07.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T09:59:07.000+0000,005dM000004WE3FQAW,2024-09-16T09:59:07.000+0000,2024-09-16T09:59:07.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004luRxQAI/VersionData,34241,csv,005dM000004WE3FQAW,C,S,,,,,0dd938b7b74a222be53dd31dff229ff9,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004luRx
068dM000004luRyQAI,069dM000006caRKQAY,True,,05TdM000005FH14UAG,1,OpportunityStage_Backup_2024-09-16.csv,,,A,N,OpportunityStage_Backup_2024-09-16.csv,0,False,2024-09-16T10:21:19.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:21:19.000+0000,005dM000004WE3FQAW,2024-09-16T10:21:19.000+0000,2024-09-16T10:21:21.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004luRyQAI/VersionData,1935,csv,005dM000004WE3FQAW,C,S,,,,,83d4031537d8c7e9281a4a9d750bab99,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004luRy
068dM000004luN9QAI,069dM000006caXxQAI,True,,05TdM000005FGiRUAW,1,ActiveFeatureLicenseMetric_Backup_2024-09-16.csv,,,A,N,ActiveFeatureLicenseMetric_Backup_2024-09-16.csv,0,False,2024-09-16T09:55:02.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T09:55:02.000+0000,005dM000004WE3FQAW,2024-09-16T09:55:02.000+0000,2024-09-16T09:55:02.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004luN9QAI/VersionData,8784,csv,005dM000004WE3FQAW,C,S,,,,,23265fdb5ef2e5499dd455a981cb6243,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004luN9
