Id,DurableId,FunctionId,Type
000000000000000AAA,CONVERSATION_MESSAGE-RPAD,RPAD,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-SECOND,SECOND,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-SIN,SIN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-SQRT,SQRT,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-SUBSTITUTE,SUBSTITUTE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TAN,TAN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TEXT,TEXT,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TIMENOW,TIMENOW,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TIMEVALUE,TIMEVALUE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TODAY,TODAY,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TRIM,TRIM,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-TRUNC,TRUNC,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-UPPER,UPPER,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-VALUE,VALUE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-WEEKDAY,WEEKDAY,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-YEAR,YEAR,CONVERSATION_MESSAGE
000000000000000AAA,LOYALTYFORMULA-ABS,ABS,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ACOS,ACOS,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ADDMONTHS,ADDMONTHS,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-AGE,AGE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-AGEON,AGEON,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-AND,AND,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ASIN,ASIN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ATAN,ATAN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ATAN2,ATAN2,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-BEGINS,BEGINS,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-CASE,CASE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-CASESAFEID,CASESAFEID,LOYALTYFORMULA
